[28-Nov-2016 01:10:16 Europe/Berlin] PHP Notice:  Undefined variable: status in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 175
[28-Nov-2016 01:10:16 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:16 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:16 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:16 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:16 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:16 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:16 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:16 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:16 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:16 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:16 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:16 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:16 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:31 Europe/Berlin] PHP Notice:  Undefined variable: status in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 175
[28-Nov-2016 01:10:31 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:31 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:31 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:31 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:31 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:31 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:31 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:31 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
[28-Nov-2016 01:10:31 Europe/Berlin] PHP Warning:  file_put_contents(logs/xmlErrCount.txt): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/SecretAlpha/public_html/chat/admin/upload.php on line 440
